Network,Level,Name,Calls_20230829,Avg(us)_20230829,Max(us)_20230829,Min(us)_20230829,Calls_20230908,Avg(us)_20230908,Max(us)_20230908,Min(us)_20230908,Calls_20230913_0,Avg(us)_20230913_0,Max(us)_20230913_0,Min(us)_20230913_0,Calls_20230913_1,Avg(us)_20230913_1,Max(us)_20230913_1,Min(us)_20230913_1,Calls_20230914,Avg(us)_20230914,Max(us)_20230914,Min(us)_20230914,Calls_20230918,Avg(us)_20230918,Max(us)_20230918,Min(us)_20230918,Calls_20230919,Avg(us)_20230919,Max(us)_20230919,Min(us)_20230919
output_gpu,deepspeech2,Fused_ReduceMean_383684264054752582_kernel,1001.0,1.477,3.4560000000000004,1.439,1001.0,1.476,1.984,1.439,10001.0,1.475,3.679,1.439,10001.0,1.475,3.679,1.439,10001.0,1.475,3.616,1.439,10001.0,1.474,1.952,1.439,10001.0,3.111000,3.808000,3.071000
output_gpu,deepspeech2,Fused_Mul_fusion_17060319833796989398_kernel,1001.0,1.388,4.096,1.344,1001.0,1.496,2.112,1.375,10001.0,1.385,4.192,1.3430000000000002,10001.0,1.385,4.192,1.3430000000000002,10001.0,1.385,4.32,1.344,10001.0,1.388,10.944,1.375,10001.0,3.164000,3.744000,3.103000
output_gpu,deepspeech2,Fused_Add_Transpose_split_11641939853427955900_kernel,1001.0,1790.406,1817.641,1763.401,1001.0,809.695,1744.455,800.1489999999999,10001.0,810.826,950.734,799.056,10001.0,810.826,950.734,799.056,10001.0,812.806,952.207,799.9540000000002,10001.0,345.771,1076.019,341.373,10001.0,369.38300000000004,373.468,367.709
output_gpu,deepspeech2,Fused_Mul_fusion_11586879053041252169_kernel,1001.0,1.39,3.232,1.344,1001.0,1.1909999999999998,1.7280000000000002,1.152,10001.0,1.388,3.2960000000000003,1.344,10001.0,1.388,3.2960000000000003,1.344,10001.0,1.388,3.36,1.344,10001.0,1.388,1.792,1.343,10001.0,3.033000,3.583000,2.975000
output_gpu,deepspeech2,Fused_BroadcastTo_inplace_assign_builder_7277678674400646887_kernel,1001.0,58.695,64.607,58.24,1001.0,58.103,61.632,57.728,10001.0,58.167,64.191,57.694,10001.0,58.167,64.191,57.694,10001.0,58.147,64.031,57.631,10001.0,58.165,64.47999999999999,57.599,10001.0,60.407000000000004,64.639,59.775
output_gpu,deepspeech2,Fused_Mul_fusion_9061280092631476395_kernel,1001.0,1.371,3.36,1.3430000000000002,1001.0,1.369,2.016,1.3430000000000002,10001.0,1.369,3.4560000000000004,1.3430000000000002,10001.0,1.369,3.4560000000000004,1.3430000000000002,10001.0,1.369,3.456,1.343,10001.0,1.369,1.888,1.343,10001.0,3.018000,3.680000,2.943000
output_gpu,deepspeech2,Fused_Tanh_fusion_13338471314311102235_kernel,1001.0,332.211,338.42800000000005,331.163,1001.0,332.272,1006.93,330.81199999999995,10001.0,331.62800000000004,338.39399999999995,330.746,10001.0,331.62800000000004,338.39399999999995,330.746,10001.0,331.644,338.105,330.714,10001.0,331.726,1020.117,330.652,10001.0,334.272,337.981,333.149
output_gpu,deepspeech2,Fused_Add_Reshape_BroadcastTo_split_10032764076833323130_kernel,1001.0,376.766,383.387,375.068,1001.0,265.202,272.413,263.932,10001.0,270.414,277.339,269.083,10001.0,270.414,277.339,269.083,10001.0,270.425,277.46700000000004,268.891,10001.0,251.052,977.428,249.405,10001.0,273.847,276.67,272.31699999999995
output_gpu,deepspeech2,Fused_Mul_fusion_548583029185277258_kernel,1001.0,1.371,3.3280000000000003,1.3430000000000002,1001.0,1.375,6.912000000000001,1.3430000000000002,10001.0,1.369,3.424,1.3430000000000002,10001.0,1.369,3.424,1.3430000000000002,10001.0,1.369,3.423,1.343,10001.0,1.374,3.264,1.343,10001.0,3.019000,3.712000,2.943000
output_gpu,deepspeech2,Fused_Reshape_BroadcastTo_split_15501133766817128202_kernel,1001.0,270.742,277.91700000000003,269.309,1001.0,202.378,206.813,201.597,10001.0,210.151,221.468,208.572,10001.0,210.151,221.468,208.572,10001.0,210.314,220.86,208.733,10001.0,194.647,908.725,193.182,10001.0,215.75900000000001,225.406,214.078
output_gpu,deepspeech2,Fused_Mul_fusion_1090074150299699800_kernel,1001.0,1.308,4.064,1.279,1001.0,1.128,1.536,1.119,10001.0,1.307,4.352,1.279,10001.0,1.307,4.352,1.279,10001.0,1.307,4.096,1.279,10001.0,1.308,4.352,1.279,10001.0,3.106000,3.616000,3.040000
output_gpu,deepspeech2,Fused_Mul_fusion_5256756168418488859_kernel,1001.0,2.36,5.312,2.272,1001.0,2.37,2.88,2.271,10001.0,2.357,5.343,2.24,10001.0,2.357,5.343,2.24,10001.0,2.358,5.344,2.24,10001.0,2.202,2.784,2.175,10001.0,4.200000,4.992000,4.095000
